row_id,product_id,store_id,customer_id,promotion_id,store_sales,store_cost,units_sold,transaction_date
200,504,13,3950,0,7.3600,3.3856,4.0000,2015-09-22
201,504,15,3700,0,7.3600,2.4288,4.0000,2014-10-03
202,508,7,1900,0,15.1600,5.0028,4.0000,2015-12-07
203,510,15,6700,0,1.2200,0.6100,2.0000,2014-08-17
204,514,7,2800,0,5.4300,2.0634,3.0000,2015-04-03
205,514,7,2200,0,5.4300,2.1177,3.0000,2015-10-01
206,518,7,4300,0,4.0800,1.9176,3.0000,2015-02-06
207,526,7,7300,0,4.5000,1.3500,2.0000,2014-11-13
208,526,13,7250,0,6.7500,2.6325,3.0000,2014-07-06
209,526,7,200,0,9.0000,3.6000,4.0000,2015-12-17
210,530,13,6350,0,11.2800,5.3016,3.0000,2015-08-18
211,530,13,6350,1000,11.2800,5.3016,3.0000,2014-12-22
212,530,15,8250,0,18.8000,8.8360,5.0000,2014-04-02
213,532,13,950,0,7.7400,3.2508,2.0000,2015-02-10
214,532,13,950,1023,11.6100,4.4118,3.0000,2015-11-07
215,532,13,6350,0,11.6100,5.4567,3.0000,2014-02-19
216,534,13,750,0,13.5200,4.1912,4.0000,2015-05-17
217,542,7,3850,0,4.5300,1.9026,3.0000,2014-09-19
218,554,7,1650,0,9.4200,4.1448,3.0000,2014-06-07
219,558,15,8300,0,1.6000,0.7680,2.0000,2014-07-27
220,562,13,7250,0,2.3600,0.9676,4.0000,2014-11-30
221,562,15,6850,0,1.1800,0.3540,2.0000,2014-10-22
222,564,14,1300,0,0.6600,0.3168,1.0000,2015-05-27
223,568,7,5250,0,13.3200,4.9284,4.0000,2015-01-20
224,572,7,8200,0,7.5300,2.9367,3.0000,2015-01-19
225,574,13,7250,0,8.0100,3.6846,3.0000,2014-08-24
226,574,15,9800,0,13.3500,6.1410,5.0000,2015-12-02
227,576,15,8300,0,1.4000,0.5880,2.0000,2015-04-20
228,578,15,6700,1150,6.8700,2.1984,3.0000,2014-08-28
229,590,7,7300,0,9.6500,3.9565,5.0000,2014-01-05
230,590,15,9850,0,3.8600,1.6212,2.0000,2014-10-16
231,592,13,6350,1008,9.9200,4.8608,4.0000,2015-04-11
232,594,15,1450,0,2.3200,0.7656,4.0000,2015-07-01
233,596,13,950,0,3.2000,1.4720,5.0000,2015-02-17
234,598,15,6300,1140,3.0400,1.3680,2.0000,2014-04-09
235,602,15,10150,1175,4.2800,1.3268,2.0000,2015-08-13
236,610,7,4300,0,6.8100,3.0645,3.0000,2015-11-14
237,612,7,350,0,7.1400,3.0702,3.0000,2015-04-18
238,614,7,500,0,11.3400,4.3092,3.0000,2015-02-06
239,618,13,750,0,4.2000,1.5540,3.0000,2014-09-18
240,624,7,500,0,9.8400,4.1328,4.0000,2015-02-06
241,624,15,4850,0,4.9200,1.5252,2.0000,2014-05-21
242,626,13,750,0,3.8700,1.2384,3.0000,2015-08-22
243,634,7,7300,0,10.1200,3.3396,4.0000,2014-01-05
244,634,13,6350,0,10.1200,3.0360,4.0000,2014-12-11
245,638,7,4300,0,12.6000,5.0400,4.0000,2015-03-05
246,638,7,3750,0,9.4500,3.4020,3.0000,2015-12-09
247,640,13,950,0,5.1800,1.6576,2.0000,2015-02-17
248,640,13,3950,0,7.7700,2.5641,3.0000,2015-03-19
249,640,13,950,1014,7.7700,3.5742,3.0000,2015-07-04
250,642,13,750,0,6.6400,2.8552,4.0000,2014-05-09
251,644,7,2150,0,2.6100,0.8352,3.0000,2015-04-02
252,646,15,6850,0,5.1200,2.3552,4.0000,2015-06-25
253,646,15,6700,0,2.5600,0.9472,2.0000,2014-12-06
