row_id,product_id,store_id,customer_id,promotion_id,store_sales,store_cost,units_sold,transaction_date
400,1006,13,950,0,4.2800,1.8832,2.0000,2014-01-11
401,1008,7,3850,0,3.5600,1.2460,4.0000,2015-02-05
402,1008,13,4900,0,2.6700,1.2816,3.0000,2014-03-21
403,1010,7,2900,0,10.6000,4.6640,4.0000,2014-06-22
404,1010,14,4500,1070,2.6500,1.0865,1.0000,2014-08-15
405,1012,15,7750,0,8.2800,3.2292,3.0000,2015-03-02
406,1012,7,9550,523,11.0400,4.5264,4.0000,2014-11-07
407,1012,13,4900,0,11.0400,4.9680,4.0000,2014-03-21
408,1016,15,3650,0,3.5100,1.2987,3.0000,2014-05-21
409,1018,15,6850,0,1.8600,0.8556,2.0000,2014-07-23
410,1018,15,6850,0,1.8600,0.8556,2.0000,2014-10-22
411,1020,13,950,0,1.5300,0.6120,3.0000,2015-11-01
412,1020,15,8300,0,1.5300,0.5508,3.0000,2015-03-22
413,1022,15,3250,0,6.0400,2.1140,4.0000,2014-07-23
414,1022,7,9550,0,6.0400,2.1140,4.0000,2015-12-09
415,1024,7,1650,0,11.8500,5.3325,3.0000,2014-08-07
416,1030,13,7250,0,10.5600,3.5904,4.0000,2014-04-12
417,1032,13,7250,976,2.2000,1.0120,4.0000,2014-01-23
418,1032,13,7250,0,2.2000,1.0120,4.0000,2014-06-23
419,1034,7,6500,505,8.7300,3.4047,3.0000,2014-02-25
420,1034,15,9800,0,11.6400,4.1904,4.0000,2014-09-04
421,1036,14,7950,1083,2.1400,0.7062,1.0000,2015-02-15
422,1036,15,3700,0,6.4200,2.6322,3.0000,2014-12-23
423,1042,14,7950,1083,1.1500,0.4255,1.0000,2015-02-15
424,1042,13,6350,0,3.4500,1.1040,3.0000,2014-06-02
425,1048,7,6500,0,8.8400,3.6244,4.0000,2014-11-02
426,1050,7,2200,523,3.8400,1.7280,3.0000,2014-11-07
427,1052,14,4400,0,2.8000,1.4000,2.0000,2015-11-16
428,1054,7,5250,0,5.9200,2.6640,4.0000,2015-01-20
429,1054,13,750,1012,5.9200,2.1904,4.0000,2015-06-05
430,1054,15,3500,1177,4.4400,2.1756,3.0000,2015-09-10
431,1056,7,7300,0,5.8600,1.7580,2.0000,2014-01-05
432,1062,13,6350,1008,4.7600,1.6184,2.0000,2015-04-09
433,1062,7,9550,523,7.1400,2.9274,3.0000,2014-11-07
434,1062,15,6700,1149,4.7600,1.9040,2.0000,2014-08-12
435,1064,7,5250,548,1.6200,0.6480,3.0000,2015-10-21
436,1064,14,7400,0,1.0800,0.4536,2.0000,2014-02-15
437,1066,15,3650,0,5.7800,2.3698,2.0000,2014-02-04
438,1078,13,7250,1014,6.5600,2.6240,4.0000,2015-07-03
439,1078,15,3250,0,3.2800,1.5744,2.0000,2015-03-22
440,1080,7,4950,549,4.3800,1.9710,2.0000,2015-11-05
441,1080,15,3700,0,4.3800,2.1462,2.0000,2014-10-03
442,1082,7,9300,519,5.7300,1.9482,3.0000,2014-09-09
443,1084,15,1450,0,5.4800,2.0824,4.0000,2015-04-20
444,1084,15,1700,0,5.4800,2.1920,4.0000,2014-12-06
445,1086,7,9300,0,7.5900,2.2770,3.0000,2015-11-28
446,1086,15,3700,0,10.1200,4.8576,4.0000,2014-07-06
447,1088,15,1450,0,9.9600,3.7848,3.0000,2015-04-20
448,1092,15,8800,1168,7.1400,2.4276,3.0000,2015-05-09
449,1092,15,1250,1146,9.5200,4.1888,4.0000,2014-07-04
450,1100,13,4900,0,2.8800,1.3536,4.0000,2014-05-09
451,1102,15,6700,0,7.6000,2.7360,4.0000,2015-09-27
452,1106,13,4900,0,4.5600,2.1432,3.0000,2014-05-09
453,1122,7,7300,0,2.9600,1.3912,4.0000,2015-02-05
454,1122,15,7750,1138,2.9600,1.3320,4.0000,2014-03-15
455,1122,15,3650,0,2.9600,1.3616,4.0000,2014-05-21
456,1124,13,4900,0,2.4300,1.1907,3.0000,2015-10-03
457,1124,15,6850,0,3.2400,1.0044,4.0000,2014-07-23
458,1126,15,3650,0,3.4800,1.2180,3.0000,2014-05-21
459,1130,13,950,0,3.1000,1.4260,2.0000,2015-08-22
460,1130,15,9900,0,6.2000,2.7900,4.0000,2015-07-01
461,1130,13,950,0,3.1000,1.4260,2.0000,2014-05-09
462,1132,7,8000,0,3.3200,0.9960,2.0000,2014-09-19
463,1132,13,750,0,3.3200,1.2284,2.0000,2015-12-10
464,1136,13,3950,0,7.2200,3.2490,2.0000,2015-09-22
