product_id,product_class_id,brand_name,product_name,price
200,99,High Top,High Top Fancy Plums,2.6500
202,99,High Top,High Top Peaches,1.4900
204,99,High Top,High Top Mandarin Oranges,1.6000
206,1,High Top,High Top Canned Peanuts,2.1100
208,99,High Top,High Top Cantelope,2.4700
210,99,High Top,High Top Fuji Apples,1.5400
212,99,High Top,High Top Oranges,1.6600
214,1,High Top,High Top Party Nuts,2.8200
216,2,Tip Top,Tip Top Scallops,3.6000
218,12,Best Choice,Best Choice BBQ Potato Chips,3.4400
220,12,Best Choice,Best Choice Low Fat BBQ Chips,2.5500
222,45,Best Choice,Best Choice Chocolate Chip Cookies,3.9500
224,45,Best Choice,Best Choice Fudge Brownies,1.7300
226,45,Best Choice,Best Choice Lemon Cookies,0.7600
228,82,Best Choice,Best Choice Cheese Crackers,0.8200
230,54,Best Choice,Best Choice No Salt Popcorn,1.1900
232,83,Best Choice,Best Choice Salsa Dip,2.6300
234,46,Best Choice,Best Choice Salted Pretzels,2.7000
236,83,Best Choice,Best Choice Fondue Mix,1.8100
238,17,Best Choice,Best Choice Beef Jerky,1.9700
240,12,Best Choice,Best Choice Low Fat Chips,0.8600
242,45,Best Choice,Best Choice Frosted Cookies,2.5900
244,109,Best Choice,Best Choice Apple Fruit Roll,2.7000
246,109,Best Choice,Best Choice Raspberry Fruit Roll,3.2100
248,109,Best Choice,Best Choice Dried Dates,0.8600
250,109,Best Choice,Best Choice Golden Raisins,2.5900
252,84,Best Choice,Best Choice Frosted Donuts,2.7100
254,36,Choice,Choice Mint Chocolate Bar,0.5600
256,36,Choice,Choice Semi-Sweet Chocolate Bar,2.6500
258,38,Choice,Choice Spicy Mints,1.7200
260,36,Choice,Choice White Chocolate Bar,1.8400
262,5,Medalist,Medalist Manicotti,1.3400
264,57,Medalist,Medalist Thai Rice,2.7800
266,43,Good,Good Imported Beer,1.6200
268,44,Good,Good Chardonnay Wine,1.7300
270,44,Good,Good Merlot Wine,2.2400
272,44,Good,Good White Zinfandel Wine,3.9100
274,27,Great,Great Pumpernickel Bread,3.7400
276,27,Great,Great Rye Bread,3.8600
278,26,Great,Great Cranberry Muffins,3.3600
280,25,Great,Great Bagels,1.8100
282,27,Great,Great Wheat Bread,0.9300
284,53,Super,Super Chunky Peanut Butter,0.9900
286,50,Super,Super Brown Sugar,1.4200
288,90,Super,Super French Roast Coffee,2.8600
290,90,Super,Super Regular Coffee,1.7000
292,49,Super,Super Corn Oil,1.8100
294,49,Super,Super Canola Oil,1.3200
296,90,Super,Super Columbian Coffee,0.5000
298,4,Super,Super Pepper,2.8300
300,4,Super,Super Salt,2.9400
