product_id,product_class_id,brand_name,product_name,price
700,66,Jumbo,Jumbo Large Brown Eggs,2.6800
702,66,Jumbo,Jumbo Large Eggs,3.8400
704,34,Imagine,Imagine Low Fat Waffles,1.6300
706,100,Imagine,Imagine Frozen Chicken Breast,3.4600
708,63,Imagine,Imagine Low Fat French Fries,3.6800
710,34,Imagine,Imagine Blueberry Waffles,1.1900
712,34,Imagine,Imagine Waffles,3.8700
714,64,Imagine,Imagine Frozen Cheese Pizza,2.7000
716,34,Imagine,Imagine Apple Cinnamon Waffles,1.8100
718,10,Imagine,Imagine Turkey TV Dinner,2.3200
720,10,Imagine,Imagine Beef TV Dinner,0.8600
722,110,Imagine,Imagine Grape Popsicles,2.8300
724,110,Imagine,Imagine Lime Popsicles,2.9400
726,9,Imagine,Imagine Ice Cream Sandwich,3.2100
728,60,Imagine,Imagine Frozen Broccoli,1.8900
730,60,Imagine,Imagine Frozen Peas,1.7200
732,100,Imagine,Imagine Frozen Chicken Thighs,0.9100
734,110,Imagine,Imagine Lemon Popsicles,0.6300
736,39,Consolidated,Consolidated Tartar Control Toothpaste,2.1300
738,39,Consolidated,Consolidated Toothpaste,1.8500
740,79,Consolidated,Consolidated Conditioning Shampoo,1.9700
742,88,Consolidated,Consolidated Angled Toothbrush,2.4700
744,70,Consolidated,Consolidated Childrens Aspirin,3.9100
746,71,Consolidated,Consolidated 200 MG Ibuprofen,3.9800
748,73,Consolidated,Consolidated HCL Nasal Spray,2.2000
750,75,Consolidated,Consolidated Multi-Symptom Cold Remedy,1.9500
752,74,Consolidated,Consolidated Laundry Detergent,0.8500
754,80,Cormorant,Cormorant 60 Watt Lightbulb,2.5700
756,56,Cormorant,Cormorant Plastic Spoons,2.6800
758,101,Cormorant,Cormorant C-Size Batteries,3.1900
760,101,Cormorant,Cormorant AAA-Size Batteries,1.8700
762,55,Cormorant,Cormorant Paper Cups,3.7000
764,22,Cormorant,Cormorant Toilet Bowl Cleaner,3.8100
766,22,Cormorant,Cormorant Glass Cleaner,0.6200
768,101,Cormorant,Cormorant AA-Size Batteries,2.7600
770,18,Cormorant,Cormorant Paper Towels,1.8300
772,18,Cormorant,Cormorant Scented Tissue,1.9400
774,18,Cormorant,Cormorant Tissues,2.4500
776,20,Cormorant,Cormorant Room Freshener,3.8900
778,87,Cormorant,Cormorant Copper Cleaner,2.7200
780,87,Cormorant,Cormorant Silver Cleaner,2.8400
782,85,Cormorant,Cormorant Economy Toilet Brush,2.3400
784,42,Cormorant,Cormorant Large Sponge,0.5200
786,65,Footnote,Footnote Extra Lean Hamburger,0.9700
788,104,Excel,Excel Monthly Sports Magazine,0.5500
790,107,Excel,Excel Monthly Computer Magazine,0.7700
792,106,Excel,Excel Monthly Fashion Magazine,2.1300
794,61,Ebony,Ebony Corn on the Cob,1.2000
796,61,Ebony,Ebony Sweet Peas,1.3200
798,61,Ebony,Ebony Beets,2.7100
800,61,Ebony,Ebony Onions,3.2600
802,61,Ebony,Ebony Shitake Mushrooms,2.9900
804,61,Ebony,Ebony Elephant Garlic,2.2100
806,61,Ebony,Ebony Garlic,2.6000
808,61,Ebony,Ebony Cauliflower,1.3900
810,61,Ebony,Ebony Mushrooms,0.5700
812,61,Ebony,Ebony Dried Mushrooms,3.3400
814,61,Ebony,Ebony Squash,1.7300
816,67,Ebony,Ebony Firm Tofu,2.2900
818,99,Ebony,Ebony Macintosh Apples,1.3500
820,99,Ebony,Ebony Red Delcious Apples,0.7000
822,99,Ebony,Ebony Fancy Plums,1.8600
824,99,Ebony,Ebony Peaches,2.1100
826,99,Ebony,Ebony Mandarin Oranges,1.8300
828,1,Ebony,Ebony Canned Peanuts,1.2900
830,99,Ebony,Ebony Cantelope,2.4500
832,99,Ebony,Ebony Fuji Apples,3.2400
834,99,Ebony,Ebony Oranges,2.9600
836,1,Ebony,Ebony Party Nuts,1.1800
